Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Fulib;scale_assay;8;0;6;Update;Memory;14680064
Fulib;scale_assay;8;0;7;Update;Time;2174000
Fulib;scale_assay;8;0;7;Update;Memory;14680064
Fulib;scale_assay;8;0;8;Update;Time;1934000
Fulib;scale_assay;8;0;8;Update;Memory;14680064
Fulib;scale_assay;8;0;9;Update;Time;514500
Fulib;scale_assay;8;0;9;Update;Memory;14680064
Fulib;scale_assay;8;0;10;Update;Time;753000
Fulib;scale_assay;8;0;10;Update;Memory;17825792
Fulib;scale_assay;8;0;11;Update;Time;112400
Fulib;scale_assay;8;0;11;Update;Memory;14680064
Fulib;scale_assay;8;0;12;Update;Time;417300
Fulib;scale_assay;8;0;12;Update;Memory;17825792
Fulib;scale_assay;8;0;13;Update;Time;293100
Fulib;scale_assay;8;0;13;Update;Memory;14680064
Fulib;scale_assay;8;0;14;Update;Time;142200
Fulib;scale_assay;8;0;14;Update;Memory;17825792
Fulib;scale_assay;8;0;15;Update;Time;1210200
Fulib;scale_assay;8;0;15;Update;Memory;14680064
Fulib;scale_assay;8;0;16;Update;Time;415400
Fulib;scale_assay;8;0;16;Update;Memory;17825792
Fulib;scale_assay;8;0;17;Update;Time;293300
Fulib;scale_assay;8;0;17;Update;Memory;14680064
Fulib;scale_assay;8;0;18;Update;Time;458200
Fulib;scale_assay;8;0;18;Update;Memory;14680064
Fulib;scale_assay;8;0;19;Update;Time;130200
Fulib;scale_assay;8;0;19;Update;Memory;17825792
Fulib;scale_assay;8;0;20;Update;Time;321600
Fulib;scale_assay;8;0;20;Update;Memory;14680064
Fulib;scale_assay;16;0;0;Load;Time;2819300
Fulib;scale_assay;16;0;0;Load;Memory;14680064
Fulib;scale_assay;16;0;0;Initial;Time;1625000
Fulib;scale_assay;16;0;0;Initial;Memory;10485760
Fulib;scale_assay;16;0;1;Update;Time;850900
Fulib;scale_assay;16;0;1;Update;Memory;20971520
Fulib;scale_assay;16;0;2;Update;Time;1403700
Fulib;scale_assay;16;0;2;Update;Memory;25165824
Fulib;scale_assay;16;0;3;Update;Time;241200
Fulib;scale_assay;16;0;3;Update;Memory;25165824
Fulib;scale_assay;16;0;4;Update;Time;559900
Fulib;scale_assay;16;0;4;Update;Memory;20971520
Fulib;scale_assay;16;0;5;Update;Time;791800
Fulib;scale_assay;16;0;5;Update;Memory;25165824
Fulib;scale_assay;16;0;6;Update;Time;172900
Fulib;scale_assay;16;0;6;Update;Memory;20971520
Fulib;scale_assay;16;0;7;Update;Time;1026100
Fulib;scale_assay;16;0;7;Update;Memory;20971520
Fulib;scale_assay;16;0;8;Update;Time;988900
Fulib;scale_assay;16;0;8;Update;Memory;20971520
