Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Reference;scale_samples;512;0;0;Initial;Elements;14341
Reference;scale_samples;512;0;0;Initial;ActiveSamples;4096
Reference;scale_samples;512;0;1;Update;Elements;14329
Reference;scale_samples;512;0;1;Update;ActiveSamples;4090
Reference;scale_samples;512;0;2;Update;Elements;14327
Reference;scale_samples;512;0;2;Update;ActiveSamples;4089
Reference;scale_samples;512;0;3;Update;Elements;14321
Reference;scale_samples;512;0;3;Update;ActiveSamples;4086
Reference;scale_samples;512;0;4;Update;Elements;14315
Reference;scale_samples;512;0;4;Update;ActiveSamples;4082
Reference;scale_samples;512;0;5;Update;Elements;14302
Reference;scale_samples;512;0;5;Update;ActiveSamples;4074
Reference;scale_samples;512;0;6;Update;Elements;14283
Reference;scale_samples;512;0;6;Update;ActiveSamples;4063
Reference;scale_samples;512;0;7;Update;Elements;14269
Reference;scale_samples;512;0;7;Update;ActiveSamples;4051
Reference;scale_samples;512;0;8;Update;Elements;14256
Reference;scale_samples;512;0;8;Update;ActiveSamples;4038
Reference;scale_samples;512;0;9;Update;Elements;14243
Reference;scale_samples;512;0;9;Update;ActiveSamples;4030
Reference;scale_samples;512;0;10;Update;Elements;14234
Reference;scale_samples;512;0;10;Update;ActiveSamples;4019
Reference;scale_samples;512;0;11;Update;Elements;14221
Reference;scale_samples;512;0;11;Update;ActiveSamples;4011
Reference;scale_samples;512;0;12;Update;Elements;14208
Reference;scale_samples;512;0;12;Update;ActiveSamples;4001
Reference;scale_samples;512;0;13;Update;Elements;14194
Reference;scale_samples;512;0;13;Update;ActiveSamples;3992
Reference;scale_samples;512;0;14;Update;Elements;14181
Reference;scale_samples;512;0;14;Update;ActiveSamples;3977
Reference;scale_samples;1024;0;0;Initialization;Time;241689900
Reference;scale_samples;1024;0;0;Initialization;Memory;37982208
Reference;scale_samples;1024;0;0;Load;Time;60685100
Reference;scale_samples;1024;0;0;Load;Memory;42827776
Reference;scale_samples;1024;0;0;Initial;Time;2324566600
